Date,Open,High,Low,Close,Adj Close,Volume
2022-05-05,100.73999786376953,101.70999908447266,97.83000183105469,98.73999786376953,96.59750366210938,719900
2022-05-06,97.81999969482422,98.58999633789062,95.97000122070312,97.05999755859375,94.95396423339844,683800
2022-05-09,95.97000122070312,96.25,94.6500015258789,95.18000030517578,93.11476135253906,607600
2022-05-10,96.4800033569336,97.5,94.16999816894531,96.37000274658203,94.27894592285156,717100
2022-05-11,95.83000183105469,97.81999969482422,93.41000366210938,93.61000061035156,91.57882690429688,647500
2022-05-12,93.4000015258789,95.12999725341797,90.97000122070312,92.93000030517578,90.91357421875,1345200
2022-05-13,94.06999969482422,95.80000305175781,93.25,93.48999786376953,91.46142578125,720200
2022-05-16,92.94999694824219,93.36000061035156,91.48999786376953,92.0199966430664,90.02332305908203,814000
2022-05-17,93.62000274658203,94.69000244140625,93.30000305175781,94.27999877929688,92.23428344726562,719300
2022-05-18,92.87999725341797,93.26000213623047,89.05999755859375,89.5999984741211,87.65583038330078,996700
2022-05-19,88.98999786376953,89.88999938964844,87.30000305175781,88.91999816894531,86.9906005859375,1536600
2022-05-20,89.87000274658203,89.95999908447266,86.81999969482422,88.61000061035156,86.68731689453125,1226800
2022-05-23,89.86000061035156,90.22000122070312,87.02999877929688,88.41999816894531,86.50143432617188,758300
2022-05-24,87.52999877929688,87.62999725341797,84.62999725341797,86.05999755859375,84.60409545898438,1678100
2022-05-25,85.94999694824219,88.48999786376953,85.54000091552734,87.37000274658203,85.89192962646484,1362800
2022-05-26,84.98999786376953,87.73999786376953,84.01000213623047,86.91000366210938,85.43971252441406,1480600
2022-05-27,87.68000030517578,90.05000305175781,87.68000030517578,89.37000274658203,87.85809326171875,1762300
2022-05-31,90.12999725341797,90.80000305175781,87.58999633789062,90.1500015258789,88.6249008178711,1856200
2022-06-01,90.0999984741211,90.55999755859375,86.8499984741211,86.97000122070312,85.49869537353516,1177900
2022-06-02,87.62000274658203,90.02999877929688,87.22000122070312,89.93000030517578,88.40862274169922,1133200
2022-06-03,88.91999816894531,91.0199966430664,88.7300033569336,89.98999786376953,88.46760559082031,998200
2022-06-06,90.76000213623047,91.19999694824219,89.87999725341797,90.75,89.21475219726562,907400
2022-06-07,90.16000366210938,92.2699966430664,89.8499984741211,92.05000305175781,90.49275970458984,637700
2022-06-08,91.19000244140625,91.76000213623047,90.58999633789062,91.0999984741211,89.55883026123047,934500
2022-06-09,91.08000183105469,91.51000213623047,87.5,87.62000274658203,86.13770294189453,868700
2022-06-10,85.98999786376953,86.63999938964844,84.56999969482422,84.5999984741211,83.16879272460938,866000
2022-06-13,82.5999984741211,83.4000015258789,80.11000061035156,80.56999969482422,79.20697021484375,987900
2022-06-14,80.66999816894531,82.43000030517578,80.47000122070312,81.43000030517578,80.05242156982422,1164200
2022-06-15,82.55000305175781,83.31999969482422,81.16999816894531,82.33999633789062,80.947021484375,950200
2022-06-16,79.9800033569336,80.48999786376953,77.83999633789062,78.31999969482422,76.99503326416016,1525100
2022-06-17,78.31999969482422,79.2300033569336,76.69000244140625,76.83999633789062,75.54006958007812,2064100
2022-06-21,77.97000122070312,79.66000366210938,77.41000366210938,79.27999877929688,77.93878936767578,958000
2022-06-22,79.04000091552734,81.04000091552734,78.5,80.11000061035156,78.75474548339844,856400
2022-06-23,76.83999633789062,77.68000030517578,73.38999938964844,75.08000183105469,73.80985260009766,2241000
2022-06-24,76.02999877929688,78.87000274658203,75.27999877929688,77.9000015258789,76.58213806152344,2063600
2022-06-27,78.26000213623047,78.55999755859375,76.88999938964844,77.55999755859375,76.24788665771484,1196300
2022-06-28,78.12999725341797,79.11000061035156,75.62999725341797,75.7699966430664,74.48816680908203,889200
2022-06-29,75.80000305175781,76.11000061035156,74.5,75.5199966430664,74.24239349365234,982900
2022-06-30,74.55000305175781,75.91999816894531,73.0999984741211,74.88999938964844,73.62305450439453,1338500
2022-07-01,74.81999969482422,75.5,73.88999938964844,75.4000015258789,74.12442779541016,1798700
